date,HUFL,HULL,MUFL,MULL
2016/7/5 14:00,18.63,81.1382,0.0018,0.23
2016/7/5 15:00,14.82,84.7681,0.0019,0.41
2016/7/5 16:00,13.34,86.2469,0.0031,0.41
2016/7/5 17:00,18.81,80.879,0.001,0.31
2016/7/5 18:00,14.81,84.7979,0.0021,0.39
2016/7/5 19:00,13.82,85.6967,0.0033,0.48
2016/7/5 20:00,18.9,80.8987,0.0013,0.2
2016/7/5 21:00,13.63,85.9377,0.0023,0.43
2016/7/5 22:00,14.07,85.4062,0.0038,0.52
2016/7/5 23:00,18.88,80.869,0.001,0.25
2016/7/6 0:00,14,85.568,0.002,0.43
2016/7/6 1:00,14,85.5666,0.0034,0.43
2016/7/6 2:00,18.94,80.7783,0.0017,0.28
2016/7/6 3:00,13.71,85.9181,0.0019,0.37
2016/7/6 4:00,12.56,86.9771,0.0029,0.46
2016/7/6 5:00,18.97,80.8382,0.0018,0.19
2016/7/6 6:00,14.63,84.9177,0.0023,0.45
2016/7/6 7:00,13.13,86.4174,0.0026,0.45
2016/7/6 8:00,18.77,81.0183,0.0017,0.21
2016/7/6 9:00,13.76,85.8376,0.0024,0.4
2016/7/6 10:00,13.09,86.4763,0.0037,0.43
2016/7/6 11:00,18.71,81.0682,0.0018,0.22
2016/7/6 12:00,14.58,84.968,0.002,0.45
2016/7/6 13:00,14.04,85.5479,0.0021,0.41
2016/7/6 14:00,18.82,80.9086,0.0014,0.27
2016/7/6 15:00,13.86,85.6878,0.0022,0.45
2016/7/6 16:00,13.84,85.7075,0.0025,0.45
2016/7/6 17:00,18.98,80.6882,0.0018,0.33
2016/7/6 18:00,14.24,85.3981,0.0019,0.36
2016/7/6 19:00,13.17,86.3771,0.0029,0.45
2016/7/6 20:00,19.06,80.6487,0.0013,0.29
2016/7/6 21:00,14.83,84.768,0.002,0.4
2016/7/6 22:00,13.36,86.2267,0.0033,0.41
2016/7/6 23:00,18.91,80.8485,0.0015,0.24
2016/7/7 0:00,14.07,85.5077,0.0023,0.42
2016/7/7 1:00,14.09,85.4773,0.0027,0.43
2016/7/7 2:00,18.89,80.829,0.001,0.28
2016/7/7 3:00,13.61,86.0179,0.0021,0.37
2016/7/7 4:00,14.05,85.4867,0.0033,0.46
2016/7/7 5:00,18.61,81.1987,0.0013,0.19
2016/7/7 6:00,14.34,85.2277,0.0023,0.43
2016/7/7 7:00,13.29,86.1962,0.0038,0.51
2016/7/7 8:00,18.63,81.1281,0.0019,0.24
2016/7/7 9:00,14.4,85.1379,0.0021,0.46
2016/7/7 10:00,13.83,85.6772,0.0028,0.49
2016/7/7 11:00,18.97,80.8088,0.0012,0.22
2016/7/7 12:00,14.23,85.3679,0.0021,0.4
2016/7/7 13:00,12.67,86.9164,0.0036,0.41
2016/7/7 14:00,18.64,81.0581,0.0019,0.3
2016/7/7 15:00,14.86,84.668,0.002,0.47
2016/7/7 16:00,13.39,86.1368,0.0032,0.47
2016/7/7 17:00,18.64,81.1584,0.0016,0.2
2016/7/7 18:00,14.84,84.7776,0.0024,0.38
2016/7/7 19:00,13.37,86.1171,0.0029,0.51
2016/7/7 20:00,19.04,80.7584,0.0016,0.2
2016/7/7 21:00,14.38,85.2276,0.0024,0.39
2016/7/7 22:00,13.8,85.7864,0.0036,0.41
2016/7/7 23:00,18.8,80.8782,0.0018,0.32
2016/7/8 0:00,14.79,84.808,0.002,0.4
2016/7/8 1:00,13.8,85.7169,0.0031,0.48
2016/7/8 2:00,18.67,81.0484,0.0016,0.28
2016/7/8 3:00,14.5,85.1276,0.0024,0.37
2016/7/8 4:00,13.94,41.1463,0.0037,0.52
2016/7/8 5:00,19.16,80.5886,0.0014,0.25
2016/7/8 6:00,13.66,85.9679,0.0021,0.37
2016/7/8 7:00,13.62,85.8765,0.0035,0.5
2016/7/8 8:00,19.03,80.7384,0.0016,0.23
2016/7/8 9:00,13.94,85.5981,0.0019,0.46
2016/7/8 10:00,12.83,86.7472,0.0028,0.42
2016/7/8 11:00,18.7,80.9986,0.0014,0.3
2016/7/8 12:00,14.57,85.0376,0.0024,0.39
2016/7/8 13:00,14.01,85.5764,0.0036,0.41
2016/7/8 14:00,18.79,80.9388,0.0012,0.27
2016/7/8 15:00,13.8,85.7479,0.0021,0.45
2016/7/8 16:00,13.78,85.7663,0.0037,0.45
2016/7/8 17:00,19.17,80.5185,0.0015,0.31
2016/7/8 18:00,14.68,84.9677,0.0023,0.35
2016/7/8 19:00,18.95,80.7481,0.0019,0.3
2016/7/8 20:00,14.58,85.0076,0.0024,0.41
2016/7/8 21:00,13.07,86.5071,0.0029,0.42
2016/7/8 22:00,12.84,86.7267,0.0033,0.43
2016/7/8 23:00,18.66,81.0783,0.0017,0.26
2016/7/9 0:00,14.46,85.188,0.002,0.35
2016/7/9 1:00,13.42,86.137,0.003,0.44
2016/7/9 2:00,18.69,80.9882,0.0018,0.32
2016/7/9 3:00,13.98,85.5877,0.0023,0.43
2016/7/9 4:00,13.99,85.5774,0.0026,0.43
2016/7/9 5:00,18.71,80.9789,0.0011,0.31
2016/7/9 6:00,14.03,85.5481,0.0019,0.42
2016/7/9 7:00,14.04,85.5369,0.0031,0.42
2016/7/9 8:00,18.72,80.9388,0.0012,0.34
2016/7/9 9:00,13.63,85.9978,0.0022,0.37
