date,O2,N2,CO,CO2
2023-04-23 01:42:00,13.914144047216924,85.58667254800048,0.00298176785724174,0.49620163692536245
2023-04-23 01:43:00,13.914931910151767,85.5859252406331,0.002981574120454484,0.49616127509468416
2023-04-23 01:44:00,13.91649981615489,85.58443804323409,0.0029811885697979775,0.4960809520412453
2023-04-23 01:45:00,13.918832357568133,85.58222557034604,0.0029806149940406223,0.4959614570917964
2023-04-23 01:46:00,13.921906991650495,85.57930920431315,0.0029798589364793873,0.49580394509987236
2023-04-23 01:47:00,13.925694691825598,85.57571647755691,0.0029789275347969837,0.49560990308270503
2023-04-23 01:48:00,13.930160766223384,85.5714802961691,0.002977829319781135,0.49538110828773646
2023-04-23 01:49:00,13.935265805213142,85.56663804115355,0.0029765739823246367,0.49511957965096587
2023-04-23 01:50:00,13.940966715065116,85.56123058797266,0.002975172119246283,0.49482752484297554
2023-04-23 01:51:00,13.947217793014081,85.55530128682302,0.002973634968930964,0.49450728519395076
2023-04-23 01:52:00,13.953971799813749,85.54889494529141,0.0029719741475867823,0.4941612807472463
2023-04-23 01:53:00,13.96118098914261,85.54205685193784,0.0029702013961124723,0.49379195752343175
2023-04-23 01:54:00,13.968798058557349,85.53483187429298,0.0029683283462563896,0.4934017388034145
2023-04-23 01:55:00,13.976776993569102,85.52726365823099,0.0029663663130567773,0.4929929818868287
2023-04-23 01:56:00,13.985073784249112,85.51939394825159,0.002964326118627269,0.49256794138068083
2023-04-23 01:57:00,13.993647001946641,85.51126204044864,0.002962217950340989,0.4921287396543727
2023-04-23 01:58:00,14.002458231653735,85.50290437240187,0.002960051254511376,0.49167734468987007
2023-04-23 01:59:00,14.011472362788012,85.49435424736205,0.002957834664888194,0.4912155551850402
2023-04-23 02:00:00,14.020657747310016,85.4856416842728,0.0029555759637762253,0.4907449924533803
2023-04-23 02:01:00,14.029986238895713,85.47679338061465,0.0029532820724026934,0.4902670984172278
2023-04-23 02:02:00,14.03943313023277,85.46783277188086,0.002950959066336203,0.4897831388200425
2023-04-23 02:03:00,14.048977007407206,85.45878016969536,0.0029486122112933103,0.4892942106861062
2023-04-23 02:04:00,14.058599540906137,85.44965296005198,0.0029462460145312777,0.48880125302734956
2023-04-23 02:05:00,14.06828523217185,85.4404658437137,0.002943864287170856,0.4883050598272618
2023-04-23 02:06:00,14.078021133141224,85.43123110223686,0.0029414702131619935,0.48780629440874873
2023-04-23 02:07:00,14.087796554054101,85.4219588751218,0.002939066421134237,0.4873055044029661
2023-04-23 02:08:00,14.097602772272623,85.41265743600499,0.0029366550559985355,0.48680313666636155
2023-04-23 02:09:00,14.107432752156164,85.40333345836466,0.0029342378478304514,0.486299551631344
2023-04-23 02:10:00,14.117280883381683,85.3939922637301,0.0029318161762176185,0.4857950367120039
2023-04-23 02:11:00,14.127142742640352,85.38463804771851,0.0029293911288589304,0.4852898185122771
2023-04-23 02:12:00,14.137014881484298,85.3752740812675,0.002926963553733369,0.48478407369445187
2023-04-23 02:13:00,14.146894641303446,85.36590288613414,0.0029245341045975133,0.48427793845781525
2023-04-23 02:14:00,14.156779995002866,85.35652638506777,0.002922103279917328,0.4837715166494433
2023-04-23 02:15:00,14.166669413916477,85.34714602804578,0.0029196714555943084,0.48326488658214767
2023-04-23 02:16:00,14.176561757799503,85.33776289661837,0.0029172389120165156,0.4827581066701074
2023-04-23 02:17:00,14.186456185342458,85.32837778878829,0.0029148058560633304,0.48225122001319387
2023-04-23 02:18:00,14.196352082488126,85.31899128700387,0.0029123724387324283,0.48174425806925586
2023-04-23 02:19:00,14.20624900585416,85.30960381182423,0.0029099387690522563,0.4812372435525533
2023-04-23 02:20:00,14.216146638714427,85.30021566367185,0.002907504924906288,0.48073019268881
2023-04-23 02:21:00,14.226044757226108,85.29082705486715,0.0029050709613378423,0.48022311694538383
2023-04-23 02:22:00,14.235943204868153,85.28143813387425,0.0029026369168357,0.47971602434077076
2023-04-23 02:23:00,14.245841784989858,85.27204908722106,0.002900202839756592,0.4792089249492901
2023-04-23 02:24:00,14.25574036511156,85.26266004056794,0.0028977687626774848,0.4787018255578094
2023-04-23 02:25:00,14.265638945233267,85.25327099391481,0.0028953346855983774,0.4781947261663287
2023-04-23 02:26:00,14.275537525354968,85.24388194726166,0.00289290060851927,0.4776876267748479
2023-04-23 02:27:00,14.285436105476673,85.23449290060852,0.0028904665314401622,0.47718052738336714
2023-04-23 02:28:00,14.295334685598378,85.22510385395537,0.0028880324543610553,0.4766734279918864
2023-04-23 02:29:00,14.30523326572008,85.21571480730222,0.002885598377281947,0.4761663286004057
2023-04-23 02:30:00,14.315131845841785,85.20632576064908,0.0028831643002028393,0.475659229208925
2023-04-23 02:31:00,14.325030425963488,85.19693671399594,0.0028807302231237328,0.4751521298174442
2023-04-23 02:32:00,14.334929006085192,85.1875476673428,0.002878296146044625,0.4746450304259634
2023-04-23 02:33:00,14.344827586206897,85.17815862068964,0.0028758620689655176,0.47413793103448276
2023-04-23 02:34:00,14.354726166328598,85.1687695740365,0.00287342799188641,0.473630831643002
2023-04-23 02:35:00,14.364624746450307,85.15938052738335,0.0028709939148073025,0.47312373225152127
2023-04-23 02:36:00,14.374523326572007,85.14999148073021,0.002868559837728195,0.4726166328600406
2023-04-23 02:37:00,14.384421906693714,85.14060243407708,0.002866125760649087,0.4721095334685599
2023-04-23 02:38:00,14.394320486815415,85.13121338742393,0.00286369168356998,0.4716024340770791
2023-04-23 02:39:00,14.404219066937118,85.12182434077079,0.002861257606490872,0.4710953346855984
